# SZ159922 500etf       12.0
# SZ159923 100etf        1.9
# SZ159948 创业板EF     0.119
# SZ159901 深100etf     1.9
# SZ159903 深成etf      0.18
# SZ159911 民营etf     86.3
# SZ159912 深300etf    11.6
# SZ159919 300etf       1.0
# SZ159931 金融etf      1.2


SH510050 50etf       0.62
SH510300 300etf      1.1
SH510500 500etf     19.3

#####################################################################
# ETFs w/ Size > 10亿
# SZ159901 深100ETF        84.53亿 易方达
# SZ159919 300ETF         245.76亿 嘉实基金
# SZ159922 500ETF          31.69亿 嘉实基金
# SZ159928 消费ETF          33.11亿 汇添富
# SZ159952 创业ETF          15.84亿 广发基金
# SZ159968 中证500ETF       29.3亿 博时基金
# SH510050 50ETF          434.21亿 华夏基金
# SH510180 180ETF        200.99亿 华安基金
# SH510230 金融ETF         57.94亿 国泰基金
# SH510300 300ETF         368.44亿 华泰柏瑞
# SH510310 沪深300发起式ETF  91.41亿 易方达
# SH510500 500ETF         474.89亿 南方基金
# SH510580 ZZ500ETF        10.5亿 易方达
# SH510880 红利ETF         28.95亿 华泰柏瑞
# SH511220 城投ETF         18.91亿 海富通
# SH512000 券商ETF          45.3亿 华宝基金
# SH512070 非银ETF          22.1亿 易方达
# SH512580 环保ETF         18.89亿 广发基金
# SH512660 军工ETF         21.33亿 国泰基金
# SH512800 银行ETF         18.9亿 华宝基金
# SH512880 证券ETF         112.44亿 国泰基金
# SH512970 湾区ETF         60.54亿元 平安基金closed
# SH512980 传媒ETF         13.7亿 广发基金
# SH515000 科技ETF         73.85亿 华宝基金
# SH515050 5GETF           42.83亿 华夏基金
# SH515800 800ETF          67.25亿 汇添富

#####################################################################
# Additional Interests
# SZ159987 创新ETF          4.77亿 银华基金
# SH510100 上证50ETF        7.52亿 易方达
# SH515810 ZZ800ETF         8.98亿 易方达
# SH515880 通信ETF          5.23亿 国泰基金


#####################################################################
#  All ETF w/ Size
# http://biz.finance.sina.com.cn/suggest/lookup_n.php?country=&q=etf
#####################################################################
# SZ159901 深100ETF        84.53亿 易方达
# SZ159903 深成ETF          4.46亿 南方基金
# SZ159911 民营ETF          0.56亿 鹏华基金
# SZ159912 深300ETF         1.34亿 汇添富
# SZ159919 300ETF         245.76亿 嘉实基金
# SZ159920 恒生ETF        59.46亿元 200w close
# SZ159922 500ETF          31.69亿 嘉实基金
# SZ159923 100ETF         0.34亿 大成基金
# SZ159926 国债ETF          0.08亿 嘉实基金
# SZ159928 消费ETF          33.11亿 汇添富
# SZ159929 医药ETF           3.82亿 汇添富
# SZ159930 能源ETF          0.2亿 1w x0.7 
# SZ159931 金融ETF          0.34亿
# SZ159932 500深ETF         0.33亿
# SZ159933 金地ETF          4.18亿 国投瑞银
# SZ159934 黄金ETF          20.97亿元 close
# SZ159941 纳指ETF          0.19亿元 close
# SZ159943 深证ETF          2.71亿
